job_role,required_skill,skill_type,criticality
SEO Analyst,Technical SEO,Technical / Domain,Core Required
SEO Analyst,Google Search Console,Technical / Domain,Core Required
SEO Analyst,Ahrefs / SEMrush,Technical / Domain,Core Required
SEO Analyst,Google Analytics,Technical / Domain,Core Required
SEO Specialist,On-Page SEO,Technical / Domain,Core Required
SEO Specialist,Backlink Strategy,Technical / Domain,Core Required
SEO Specialist,Content Optimization,Technical / Domain,Core Required
SEO Specialist,Google Analytics,Technical / Domain,Core Required
SEO Specialist,HTML / CSS Basics,Technical / Domain,Core Required
Content Lead,Content Strategy,Technical / Domain,Core Required
Content Lead,Editorial Planning,Technical / Domain,Core Required
Content Lead,Copywriting,Technical / Domain,Core Required
Content Lead,SEO,Technical / Domain,Core Required
Content Lead,Brand Storytelling,Technical / Domain,Core Required
Content Lead,Team Leadership,Technical / Domain,Core Required
Content Strategist,Content Auditing,Technical / Domain,Core Required
Content Strategist,Information Architecture,Technical / Domain,Core Required
Content Strategist,Copywriting,Technical / Domain,Core Required
Content Strategist,SEO,Technical / Domain,Core Required
Content Strategist,User Research,Technical / Domain,Core Required
